title,date
"삼성중공업, 9593억 규모 LNG선 4척 수주",2021-09-30 09:19
"유엑스엔, 180억 규모 사모 BW 발행 결정",2021-09-30 08:38
[재송]29일 장 마감 후 주요 종목뉴스,2021-09-30 07:00
[코스피·코스닥 전 거래일(29일) 주요공시],2021-09-30 06:05
[코스닥 기업공시] (29일) 뷰노 등,2021-09-30 02:32
[유가증권 기업공시] (29일) 우리금융지주 등,2021-09-30 02:31
[유가증권 메모] (30일) 보통주추가상장= CJ CGV(전환) 등,2021-09-30 02:30
인플레가 때린 코스피 '털썩'…가치株가 '피난처',2021-09-29 23:51
29일 장 마감 후 주요 종목뉴스,2021-09-29 18:26
"트루윈, 에이치에스티와 99억원 규모 MEMS 설비 용역 계약 체결",2021-09-29 18:13
"이큐셀, 6월말 결산→12월말 결산기로 변경",2021-09-29 18:10
"거래소 ""세종메디칼 주식분할로 10월 5일부터 거래정지""",2021-09-29 18:10
"에스디바이오센서, 200억원 규모 유엑스엔 지분 인수",2021-09-29 18:09
"셀트리온, 아바스틴 바이오시밀러 품목허가 신청",2021-09-29 18:06
"엔에스엔, 10월 14일 임시주주총회 소집",2021-09-29 17:18
"에스엘바이오닉스, 10월 15일 임시주주총회 소집",2021-09-29 17:09
"휴먼엔 ""인피니엄인베스트먼트 외 4인이 주주총회 소집허가 신청""",2021-09-29 17:09
"게임빌 종속회사, 코인원 주식 15만1218주 약 539억원에 취득 결정",2021-09-29 17:08
"하나기술, 이차전지 방전 시스템 관련 특허취득",2021-09-29 17:00
"GS건설, 2521억원 규모 광주 아파트 신축공사 계약 체결",2021-09-29 16:53
"푸른기술, 12억 규모 공항자동출입국심사대H/W 공급계약",2021-09-29 16:52
"게임빌플러스, 코인원 주식 539억 규모 추가 취득 결정",2021-09-29 16:49
"삼성바이오로직스, 490억원 규모 위탁생산계약 의향서 체결",2021-09-29 16:43
"GS건설, 2521억 규모 호남대 쌍촌캠퍼스부지 공동주택 신축공사 수주",2021-09-29 16:42
"삼성바이오로직스, MSD와 490억 규모 위탁생산 의향서 체결",2021-09-29 16:38
"GS건설, 2521억 규모 호남대 쌍촌캠퍼스 부지 아파트 공사 계약",2021-09-29 16:34
"지코, 김형철→정병수 대표이사 변경",2021-09-29 16:19
"녹십자 ""얀센 백신 위탁생산, 결정된 바 없어""",2021-09-29 16:17
"디티알오토모티브, 동아전지 흡수합병",2021-09-29 16:15
녹십자 “얀센 백신 위탁생산 논의 결정된 사항 없어”,2021-09-29 16:12
"라온피플, 10월 15일 임시주주총회 소집",2021-09-29 16:11
"휴먼엔 ""인피니엄인베스트먼트가 제기한 이사직무 집행정지 가처분 기각""",2021-09-29 16:11
"디아이티, 삼성디스플레이와 69억원 규모 디스플레이 제조장비 공급계약",2021-09-29 16:08
"디티알오토모티브, 자회사 동아전지 흡수합병 결정",2021-09-29 15:55
"디아이티, 삼성디스플레이와 69억 규모 공급계약 체결",2021-09-29 15:43
"이월드, 방병순 신임 대표이사 선임",2021-09-29 15:40
"에이팩트, 최대주주 변경 주식양수도 계약 체결",2021-09-29 15:17
"큐라클, 당뇨병성 신증 치료제 임상 신청",2021-09-29 15:08
"금호에이치티, 의료기기 제조판매업 사업목적 추가",2021-09-29 15:05
"티로보틱스, OLED 진공 로봇 관련 특허 취득",2021-09-29 15:04
"지놈앤컴퍼니, 항암 면역증강용 물질 관련 특허권 취득",2021-09-29 15:01
"뷰노, 삼성전자와 3억 규모 엑스레이 SDK 공급계약",2021-09-29 15:00
"한라, 한라홀딩스로부터 우선주 250억어치 매입",2021-09-29 14:59
"압타바이오, 조영제 유발 신부전 치료제 특허",2021-09-29 14:58
"CNT85, 동성케미컬과 2억원 규모 폐수처리장 탈수기 제작 계약",2021-09-29 14:58
"큐브엔터, 브이티지엠피 주식 30억 규모 추가 취득 결정",2021-09-29 14:56
"제노코, 한화시스템과 33억원 규모 공급 계약",2021-09-29 14:55
"CNT85, 중원신소재와 5억원 규모 필터프레스 설치공사 계약",2021-09-29 14:55
"지놈앤컴퍼니, 항암 및 면역증강용 신규 타깃 관련 특허취득",2021-09-29 14:14
"지놈앤컴퍼니, 항암 면역증강용 물질 관련 특허권 취득",2021-09-29 14:07
